
2025-10-25 16:41:34|127.0.0.1|https://phishguard.tech/|prediction_legitimate
2025-10-25 16:42:12|127.0.0.1|http://phishguard.tech/|prediction_legitimate
2025-10-25 16:42:25|127.0.0.1|https://intermatchjob.com/|prediction_legitimate
2025-10-25 16:42:26|127.0.0.1|https://intermatchjob.com/|prediction_legitimate
2025-10-25 16:42:26|127.0.0.1|https://intermatchjob.com/|prediction_legitimate
2025-10-25 16:42:27|127.0.0.1|https://intermatchjob.com/|prediction_legitimate
2025-10-25 16:43:07|127.0.0.1|https://internmatchjobs.com/|prediction_legitimate
2025-10-25 16:43:08|127.0.0.1|https://internmatchjobs.com/|prediction_legitimate
2025-10-25 16:43:08|127.0.0.1|https://internmatchjobs.com/|prediction_legitimate
2025-10-25 16:43:08|127.0.0.1|https://internmatchjobs.com/|prediction_legitimate
2025-10-25 16:43:08|127.0.0.1|https://internmatchjobs.com/|prediction_legitimate
2025-10-25 16:43:09|127.0.0.1|https://internmatchjobs.com/|prediction_legitimate
2025-10-25 16:43:30|127.0.0.1|https://internmatchjobs.com/RegisterStudent.phphttps://internmatchjobs.com/RegisterStudent.php|prediction_legitimate
2025-10-25 16:43:31|127.0.0.1|https://internmatchjobs.com/RegisterStudent.phphttps://internmatchjobs.com/RegisterStudent.php|prediction_legitimate
2025-10-25 16:43:31|127.0.0.1|https://internmatchjobs.com/RegisterStudent.phphttps://internmatchjobs.com/RegisterStudent.php|prediction_legitimate
2025-10-25 16:43:46|127.0.0.1|https://internmatchjobs.com/LoginStudent.php|prediction_legitimate
2025-10-25 16:44:18|127.0.0.1|/login|access_denied_dev
